contracts/rewards_fuses/gearbox_v3/GearboxV3FarmDTokenClaimFuse.sol; GearboxV3FarmDTokenClaimFuseRewardsClaimManagerZeroAddress(address version); 0x470cfe17
contracts/rewards_fuses/fluid_instadapp/FluidInstadappClaimFuse.sol; FluidInstadappClaimFuseRewardsClaimManagerZeroAddress(address version); 0x1c318053
contracts/vaults/PlasmaVault.sol; NoSharesToRedeem(); 0xf10cc937
contracts/vaults/PlasmaVault.sol; NoSharesToMint(); 0x01aeea51
contracts/vaults/PlasmaVault.sol; NoAssetsToWithdraw(); 0xbb464a5e
contracts/vaults/PlasmaVault.sol; NoAssetsToDeposit(); 0x182b250f
contracts/vaults/PlasmaVault.sol; UnsupportedFuse(); 0x2356a16d
contracts/vaults/PlasmaVault.sol; UnsupportedMethod(); 0x1b517b18
contracts/vaults/PlasmaVault.sol; WithdrawIsNotAllowed(address caller, uint256 requested); 0x7199992a
contracts/vaults/PlasmaVaultBase.sol; ERC20ExceededCap(uint256 increasedSupply, uint256 cap); 0x9e79f854
contracts/vaults/PlasmaVaultBase.sol; ERC20InvalidCap(uint256 cap); 0x392e1e27
contracts/fuses/curve_gauge/CurveChildLiquidityGaugeBalanceFuse.sol; AssetNotFoundInCurvePool(address curvePool, address asset); 0x4d832167
contracts/fuses/curve_gauge/CurveChildLiquidityGaugeSupplyFuse.sol; CurveChildLiquidityGaugeSupplyFuseUnsupportedGauge(address childLiquidityGauge); 0x47ca9b6c
contracts/fuses/pendle/PendleSwapPTFuse.sol; PendleSwapPTFuseInvalidMarketId(); 0x71235367
contracts/fuses/pendle/PendleSwapPTFuse.sol; PendleSwapPTFuseInvalidRouter(); 0x81a2c52a
contracts/fuses/pendle/PendleSwapPTFuse.sol; PendleSwapPTFuseInvalidTokenIn(); 0x3a3c7c09
contracts/fuses/pendle/PendleSwapPTFuse.sol; PendleSwapPTFuseInvalidTokenOut(); 0x02b7a67f
contracts/fuses/ramses/RamsesV2ModifyPositionFuse.sol; RamsesV2ModifyPositionFuseUnsupportedToken(address token0, address token1); 0xb6af88d6
contracts/fuses/ramses/RamsesV2NewPositionFuse.sol; RamsesV2NewPositionFuseUnsupportedToken(address token0, address token1); 0xb2e20aa1
contracts/fuses/compound_v2/CompoundV2SupplyFuse.sol; CompoundV2SupplyFuseUnsupportedAsset(address asset); 0xac2f79f4
contracts/fuses/aave_v3/AaveV3BorrowFuse.sol; AaveV3BorrowFuseUnsupportedAsset(string action, address asset); 0x8cba8537
contracts/fuses/aave_v3/AaveV3SupplyFuse.sol; AaveV3SupplyFuseUnsupportedAsset(string action, address asset); 0xc47bb9d5
contracts/fuses/morpho/MorphoSupplyFuse.sol; MorphoSupplyFuseUnsupportedMarket(string action, bytes32 morphoMarketId); 0x3a3be983
contracts/fuses/morpho/MorphoCollateralFuse.sol; MorphoCollateralUnsupportedMarket(string action, bytes32 morphoMarketId); 0x5398b92a
contracts/fuses/morpho/MorphoBorrowFuse.sol; MorphoBorrowFuseUnsupportedMarket(string action, bytes32 morphoMarketId); 0x1c71a2c5
contracts/fuses/morpho/MorphoFlashLoanFuse.sol; MorphoFlashLoanFuseUnsupportedToken(address token); 0x12574225
contracts/fuses/morpho/MorphoSupplyWithCallBackDataFuse.sol; MorphoSupplyFuseUnsupportedMarket(string action, bytes32 morphoMarketId); 0x3a3be983
contracts/fuses/universal_token_swapper/UniversalTokenSwapperFuse.sol; UniversalTokenSwapperFuseUnsupportedAsset(address asset); 0x484e87f9
contracts/fuses/universal_token_swapper/UniversalTokenSwapperFuse.sol; UniversalTokenSwapperFuseSlippageFail(); 0xda648573
contracts/fuses/moonwell/MoonwellHelperLib.sol; MoonwellSupplyFuseUnsupportedAsset(address asset); 0x8d1d8dff
